datetime,se1_unspecified_generation,se2_unspecified_generation,se3_unspecified_generation,se4_unspecified_generation,se1_hydro_generation,se2_hydro_generation,se3_hydro_generation,se4_hydro_generation,se1_wind_generation,se2_wind_generation,se3_wind_generation,se4_wind_generation,se3_nuclear_generation,se1_thermal_generation,se2_thermal_generation,se3_thermal_generation,se4_thermal_generation,se1_solar_generation,se2_solar_generation,se3_solar_generation,se4_solar_generation,se1_energy_storage_generation,se2_energy_storage_generation,se3_energy_storage_generation,se4_energy_storage_generation,se1_wind_onshore,se2_wind_onshore,se3_wind_onshore,se4_wind_onshore,se1_wind_offshore,se2_wind_offshore,se3_wind_offshore,se4_wind_offshore
2024-06-02 10:00:00,1.2414990000000001,2.6974170000000006,9.280711,6.476800000000001,1047.0522300000005,3183.823449000002,856.1614060000006,47.602385999999996,201.90775899999997,574.8334099999996,205.7798639999992,179.60268499999995,5271.150000000001,3.5537080000000003,75.94038,234.0165560000001,62.707845999999996,14.355477999999993,75.57473400000003,1313.3030660000027,651.5681640000004,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 11:00:00,1.3263819999999997,2.8075299999999994,11.063205,7.514704999999999,1226.076816,3076.373726,847.2275300000001,37.54865000000001,147.657865,379.11751799999996,200.4736680000001,228.17263299999993,5269.18,3.69746,79.97699,226.48290399999996,61.23538600000001,14.844218000000001,82.65576300000004,1391.7481160000007,628.2101340000005,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 12:00:00,1.3197029999999998,2.218852,11.184742,6.617921000000001,1116.0315489999998,2765.960028000004,904.028394000001,37.445912,98.41514199999993,283.63427099999967,210.13676699999974,362.2014039999997,5266.05,3.5130820000000003,83.06405000000001,215.72192100000015,61.621339,15.032348000000002,89.68648700000003,1356.842098999998,576.5693799999995,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 13:00:00,1.002748,2.0152310000000004,9.729519999999999,5.973456,982.0461100000003,2811.0445770000006,946.1034570000002,35.732473000000006,107.89699399999999,233.2432830000002,193.19255,421.1994330000001,5258.98,3.4240320000000004,86.23601,212.88021799999999,62.08172999999999,14.578442,86.60342099999995,1251.310232999998,479.9102769999996,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 14:00:00,0.973412,1.8461819999999998,7.619413999999999,5.547153999999998,994.1068979999994,2750.8400589999997,957.9815839999989,34.098445,83.45987800000006,239.53967600000001,169.45664899999997,329.3528540000001,5256.820000000001,3.5868360000000004,81.95993000000001,218.87315399999997,61.323829999999994,12.676850000000005,76.45424600000003,1041.2937019999997,368.28613500000006,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 15:00:00,0.7919019999999998,1.7359849999999997,6.740637,4.932557999999999,925.7352850000003,3081.421870000001,974.5407949999999,36.412775,146.24383000000014,246.99768400000002,178.79116300000015,264.146183,5254.789999999999,5.046942,77.02378,219.067402,60.86377500000002,9.661504000000003,60.095947000000045,808.0756779999991,284.1082319999998,0.0,0.0,0.002,0.0,,,,,,,,
2024-06-02 16:00:00,0.5366799999999999,1.4335100000000005,12.20447,3.6904920000000003,1649.9485420000008,3927.4950590000003,1062.016324000001,40.612844,160.52083799999986,178.44572200000013,123.0116420000001,230.7647360000001,5250.4400000000005,5.1988199999999996,77.28793999999999,224.48159000000007,61.628849999999986,6.303352999999999,40.706175000000016,549.3474189999996,228.41417899999956,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 17:00:00,0.29180700000000004,1.4765789999999996,9.146849000000001,3.0759179999999997,2892.229363000001,4627.218053000002,1087.7373000000011,44.660523000000005,157.49265799999998,111.44397800000013,93.90165000000009,196.285046,5254.19,3.4590080000000003,82.2448,241.60710600000007,61.492691,3.416673999999999,22.99559899999998,329.1888969999994,162.24963399999982,0.0,0.0,0.002,0.0,,,,,,,,
2024-06-02 18:00:00,0.12024500000000002,0.8693000000000002,4.227766999999999,1.8199040000000002,2966.1035149999993,4725.241770999992,1157.659114,61.728598000000005,120.35643199999997,75.98307100000002,92.6760440000001,164.7467680000002,5257.9,4.012516000000001,80.50226,255.664662,60.214566999999995,1.2018170000000004,9.458693000000007,144.39198,76.82008499999996,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 19:00:00,0.107308,0.6921240000000002,3.354099,1.361108,2956.0024750000016,4768.469824999999,1154.727517999999,95.88291700000003,122.19350800000001,65.01828300000011,103.16277600000019,133.36124500000005,5258.97,4.630292000000001,80.1314,256.7390079999999,62.79504400000001,0.411834,3.0285499999999974,33.977769,17.615815000000005,0.0,0.0,0.00284,0.0,,,,,,,,
2024-06-02 20:00:00,0.02261,0.6621049999999998,3.290717999999999,7.288987,2916.595217000001,4776.335093000007,1144.7575999999988,112.32559899999991,119.303835,132.31487100000012,173.96349299999986,149.6352330000001,5262.780000000001,3.7383139999999995,83.00616000000001,256.7147319999999,64.409055,0.06404000000000001,1.3009309999999987,4.807449999999967,1.9417089999999957,0.0,0.0,0.0061600000000000005,0.0,,,,,,,,
2024-06-02 21:00:00,0.04148,0.6202479999999996,3.048812999999999,1.0262369999999996,2821.77471,4614.254832999997,1119.5975709999989,114.19132799999994,164.14270400000004,243.48064500000007,294.8896720000008,167.59478600000003,5261.67,3.808626,79.38127000000001,253.83362000000002,66.111474,0.03717599999999999,1.0331389999999994,1.3120019999999826,0.7130309999999983,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 22:00:00,0.05783,0.47108999999999984,2.874276,0.8780559999999997,2192.8540800000005,4518.098755000001,979.100858,117.14580299999997,73.08795300000006,383.0378490000005,415.9598249999996,196.50925200000015,5316.7,4.000302,81.27708,246.64278000000002,62.475040000000014,0.018926999999999992,1.004232999999999,1.2254849999999866,0.6116249999999958,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-02 23:00:00,0.1359,0.5155480000000001,4.319707,0.915911,1772.9012139999988,3967.7905,940.5537270000001,110.733552,43.578323000000026,542.4837689999997,551.4507629999997,240.3813770000003,5541.42,5.797486,85.22705,241.23018799999997,60.828090999999986,0.008598999999999999,0.6505909999999997,0.9343819999999959,0.49130200000000146,0.0,0.0,0.0,0.0,,,,,,,,
2024-06-03 00:00:00,0.7320799999999998,0.5051300000000001,7.903496000000001,0.8358460000000001,1410.7766200000003,3801.607209999999,925.8296969999997,109.57093200000001,31.341647999999996,770.8616439999997,657.692838,301.6338970000001,5546.439999999999,3.997924,83.14055,240.38796899999994,64.564786,0.010932000000000002,0.6024979999999998,2.739071999999975,0.46024800000000143,0.0,0.0,0.00736,0.0,,,,,,,,
2024-06-03 01:00:00,0.247999,0.5320210000000001,7.656832000000001,0.740548,1358.8360389999993,3732.0277459999993,937.7370309999993,108.26052800000011,21.868205999999997,906.8483469999998,729.2709720000008,331.09137499999986,5542.279999999999,3.865724,83.85355000000001,243.52930700000002,62.728804,0.020793999999999997,0.6090279999999993,0.7982799999999894,0.39592000000000144,0.0,0.0,0.00208,0.0,,,,,,,,
2024-06-03 02:00:00,0.072911,0.5007810000000001,6.467224,1.4888970000000001,1339.0457200000003,3879.2859830000007,960.4049629999998,109.57655899999999,106.85420800000001,846.7930289999994,652.0821349999994,390.5393929999997,5538.4400000000005,3.8206919999999998,84.77847,241.551615,62.627848,0.083616,0.7006480000000002,0.9304689999999972,0.39174200000000126,0.0,0.0,0.004,0.0,,,,,,,,
