datetime,se1_profiled_supply_losses,se2_profiled_supply_losses,se3_profiled_supply_losses,se4_profiled_supply_losses,se1_metered_losses,se2_metered_losses,se3_metered_losses,se4_metered_losses
2018-01-07 10:00:00,-33.396567,-62.730756,-436.032344,-139.007482,,,,
2018-01-07 11:00:00,-34.289882,-62.966729,-430.12261,-136.222899,,,,
2018-01-07 12:00:00,-34.428794,-62.043249,-424.579651,-131.911857,,,,
2018-01-07 13:00:00,-34.849509,-61.228319,-418.719335,-127.864981,,,,
2018-01-07 14:00:00,-35.774832,-61.212569,-415.959584,-126.394891,,,,
2018-01-07 15:00:00,-36.891137,-63.60819,-427.711339,-131.221222,,,,
2018-01-07 16:00:00,-37.724847,-66.092265,-453.031713,-145.306329,,,,
2018-01-07 17:00:00,-37.61422,-65.566677,-463.88812,-153.092411,,,,
2018-01-07 18:00:00,-37.050692,-64.239727,-460.910431,-152.728717,,,,
2018-01-07 19:00:00,-36.479966,-62.748971,-447.263343,-148.614595,,,,
2018-01-07 20:00:00,-35.531067,-60.750555,-427.497597,-142.185519,,,,
2018-01-07 21:00:00,-34.431594,-58.768132,-403.587623,-135.09586,,,,
2018-01-07 22:00:00,-32.970058,-56.197223,-375.598051,-126.843946,,,,
2018-01-07 23:00:00,-31.557718,-53.347124,-346.785247,-118.197861,,,,
2018-01-08 00:00:00,-30.802775,-51.684154,-327.872359,-112.789795,,,,
2018-01-08 01:00:00,-30.398628,-50.787325,-319.640679,-109.627123,,,,
2018-01-08 02:00:00,-30.488849,-50.62846,-319.126174,-108.723208,,,,
2018-01-08 03:00:00,-30.84002,-51.049386,-322.825203,-108.39746,,,,
2018-01-08 04:00:00,-31.916693,-52.517498,-328.655828,-109.560426,,,,
2018-01-08 05:00:00,-32.848203,-55.029061,-343.231356,-113.76127,,,,
2018-01-08 06:00:00,-33.891008,-57.980533,-373.596133,-122.101821,,,,
2018-01-08 07:00:00,-34.046059,-59.387293,-393.057803,-128.070772,,,,
2018-01-08 08:00:00,-34.102741,-58.987272,-395.585008,-128.063132,,,,
2018-01-08 09:00:00,-33.717906,-57.938486,-390.990438,-126.740734,,,,
2018-01-08 10:00:00,-33.505038,-57.400106,-386.551898,-125.469105,,,,
2018-01-08 11:00:00,-33.319063,-56.95921,-379.525509,-125.108614,,,,
2018-01-08 12:00:00,-33.049043,-56.383098,-374.014267,-124.05309,,,,
2018-01-08 13:00:00,-32.945124,-55.431885,-363.416227,-121.991927,,,,
2018-01-08 14:00:00,-33.812457,-55.830706,-364.199601,-121.992807,,,,
