datetime,se1_metered_consumption_excluding_interruptible_load,se2_metered_consumption_excluding_interruptible_load,se3_metered_consumption_excluding_interruptible_load,se4_metered_consumption_excluding_interruptible_load,se1_interruptible_load,se2_interruptible_load,se3_interruptible_load,se4_interruptible_load,se1_profiled_supply_consumption,se2_profiled_supply_consumption,se3_profiled_supply_consumption,se4_profiled_supply_consumption,se1_metered_consumption_over_50mw,se2_metered_consumption_over_50mw,se3_metered_consumption_over_50mw,se4_metered_consumption_over_50mw,se1_energy_storage_consumption,se2_energy_storage_consumption,se3_energy_storage_consumption,se4_energy_storage_consumption
2018-01-02 20:00:00,-958.4210360000001,-1468.521556,-6624.520629,-1604.66994,-1.882906,-5.642,-44.805458,-2.017,-330.368274,-720.348154,-4904.856149,-1615.285018,,,,,,,,
2018-01-02 21:00:00,-965.665453,-1376.1518789999998,-6374.332133,-1514.7156400000001,-1.789703,-5.12675,-45.457434,-1.882,-319.956578,-699.908895,-4657.931445,-1522.986484,,,,,,,,
2018-01-02 22:00:00,-935.2476210000001,-1302.0509110000003,-6135.303228,-1456.2412169999998,-4.31643,-5.3261,-46.713598,-1.964,-303.107475,-668.218407,-4316.100344,-1418.240417,,,,,,,,
2018-01-02 23:00:00,-892.853045,-1270.5298729999997,-5932.417243000001,-1401.2180009999997,-2.769802,-5.71215,-45.685434,-2.082,-285.40864,-634.971569,-3984.723769,-1309.10545,,,,,,,,
2018-01-03 00:00:00,-887.465232,-1236.3144889999999,-5774.187062,-1368.928697,-4.275809,-6.1503,-50.770494,-1.704,-274.355979,-616.669898,-3754.275532,-1238.722288,,,,,,,,
2018-01-03 01:00:00,-862.2080110000002,-1247.047077,-5720.046537,-1314.2050300000003,-3.149365,-5.9814,-48.260886,-2.058,-266.473687,-610.791562,-3645.130986,-1192.460134,,,,,,,,
2018-01-03 02:00:00,-859.724378,-1233.8416889999999,-5783.649088000001,-1292.9539519999998,-3.000697,-6.38505,-45.232658,-2.094,-265.331807,-616.069056,-3598.507961,-1176.575947,,,,,,,,
2018-01-03 03:00:00,-863.875079,-1224.12553,-5795.379873999999,-1322.8194429999999,-3.127931,-5.96535,-45.313432,-1.967,-266.272076,-629.501338,-3567.661501,-1174.457438,,,,,,,,
2018-01-03 04:00:00,-866.5373040000001,-1210.82058,-5866.6055,-1348.825539,-3.187295,-6.11585,-43.34631,-1.926,-274.218849,-652.947675,-3605.42675,-1188.963355,,,,,,,,
2018-01-03 05:00:00,-888.1963360000001,-1245.9672329999999,-6172.396201999999,-1445.2847659999998,-3.086863,-6.1665,-46.712822,-1.842,-283.589293,-688.22921,-3744.895081,-1235.816883,,,,,,,,
2018-01-03 06:00:00,-935.420609,-1327.0943129999996,-6805.117609000001,-1694.329232,-3.0029,-7.08795,-49.122054,-1.998,-296.245255,-727.008533,-3984.235914,-1328.276762,,,,,,,,
2018-01-03 07:00:00,-958.0502819999999,-1463.2205009999998,-7420.579581,-1922.99885,-3.28132,-8.151162,-48.676618,-2.011,-305.333734,-758.721441,-4203.703493,-1414.431445,,,,,,,,
2018-01-03 08:00:00,-990.9105940000002,-1510.0322830000002,-7674.664923999999,-2005.4925129999997,-3.930791,-8.578035,-47.60817,-1.953,-315.411905,-786.630921,-4350.151866,-1478.490858,,,,,,,,
2018-01-03 09:00:00,-996.919687,-1525.498646,-7617.339154,-2007.3411249999997,-3.557973,-8.613532,-47.559938,-2.125,-318.358733,-803.997579,-4426.437011,-1516.639371,,,,,,,,
2018-01-03 10:00:00,-1011.1324949999998,-1591.2698789999997,-7830.696723000002,-2066.653883,-3.679593,-7.258959,-43.22571,-1.953,-324.774597,-818.165828,-4524.086127,-1572.098669,,,,,,,,
