datetime,se3_metered_consumption_excluding_interruptible_load,se3_interruptible_load,se3_profiled_supply_consumption,se3_metered_consumption_over_50mw,se3_energy_storage_consumption
2020-12-26 04:00:00,-4436.197043000009,-88.336762,-4053.271751,-662.684182,
2020-12-26 05:00:00,-4472.849777999998,-88.112966,-4095.641597,-656.722276,
2020-12-26 06:00:00,-4599.393963999997,-85.97033400000001,-4166.720295,-666.759466,
2020-12-26 07:00:00,-4757.643062000014,-84.73213,-4293.297784,-658.7115600000002,
2020-12-26 08:00:00,-4813.757976000019,-78.04447,-4487.64008,-663.116086,
2020-12-26 09:00:00,-4870.948610999991,-73.36394999999999,-4696.71159,-657.942771,
2020-12-26 10:00:00,-4996.888913000013,-69.780306,-4875.913632,-674.82893,
2020-12-26 11:00:00,-5032.500776000018,-69.320446,-4967.276917,-664.8733020000001,
2020-12-26 12:00:00,-5007.705056000025,-68.714306,-4989.085348,-658.2028869999999,
2020-12-26 13:00:00,-5063.097502000002,-68.38467399999999,-4971.80014,-653.193411,
2020-12-26 14:00:00,-5072.490928000014,-67.14791199999999,-4997.3001,-667.11211,
2020-12-26 15:00:00,-5122.752068000021,-65.271364,-5179.257555,-708.555364,
2020-12-26 16:00:00,-5147.633885000004,-65.72729799999999,-5303.305478,-730.6972840000001,
2020-12-26 17:00:00,-5068.642101999999,-65.79405600000001,-5325.301769,-727.0204510000001,
2020-12-26 18:00:00,-4975.601361000012,-71.54489,-5242.996297,-727.179072,
2020-12-26 19:00:00,-4861.3474580000075,-76.469328,-5029.844829,-716.5476639999999,
2020-12-26 20:00:00,-4734.741942000014,-80.638962,-4783.277751,-721.429509,
2020-12-26 21:00:00,-4606.304962000012,-82.45658800000001,-4529.173087,-706.403287,
2020-12-26 22:00:00,-4469.987000000004,-84.996828,-4282.847974,-650.466191,
2020-12-26 23:00:00,-4395.179990999996,-84.313874,-4010.234884,-622.799872,
2020-12-27 00:00:00,-4302.933565000008,-75.32739200000002,-3769.798344,-623.552692,
2020-12-27 01:00:00,-4279.996175999999,-73.305114,-3601.319982,-634.4045229999999,
2020-12-27 02:00:00,-4206.9427970000015,-73.01435000000001,-3513.16853,-640.244023,
2020-12-27 03:00:00,-4224.521082000003,-56.823468000000005,-3469.059495,-633.03552,
2020-12-27 04:00:00,-4238.798229000022,-55.850156,-3458.148998,-633.622448,
2020-12-27 05:00:00,-4282.987630999998,-55.123864,-3477.618323,-634.890375,
2020-12-27 06:00:00,-4388.388039000011,-56.97912000000001,-3539.620301,-635.493348,
2020-12-27 07:00:00,-4480.881619000006,-56.67815,-3658.539157,-615.0627889999998,
2020-12-27 08:00:00,-4591.542143000016,-56.75523,-3860.052906,-603.13672,
2020-12-27 09:00:00,-4650.387733000012,-56.297343999999995,-4083.221495,-617.543816,
2020-12-27 10:00:00,-4808.709553000009,-54.693231999999995,-4323.549401,-611.6735730000001,
2020-12-27 11:00:00,-4898.849847000012,-54.858088,-4510.832,-620.9088270000001,
