datetime,t2m,d2m,u10,v10,ssrd,tp,snowc,day,weekday,month,hour_sin,hour_cos,is_weekend,is_holiday,lag_24,lag_48,lag_168,lag_336,total_consumption
2023-03-28 14:00:00,271.41095,266.18848,2.9694214,-5.376343,1069718.0,5.7578087e-05,100.0,28,1,3,-0.4999999999999997,-0.8660254037844388,0,0,-10574.731087000011,-9235.911693000002,-9094.37922100001,-9605.506698999998,-9925.291404000007
2023-03-28 15:00:00,271.3297,265.93958,2.7044983,-4.8202972,1022726.0,4.440546e-06,100.0,28,1,3,-0.7071067811865471,-0.7071067811865479,0,0,-10560.127771000018,-9363.886612000004,-9123.908895999994,-9695.965607000024,-9736.126484999999
2023-03-28 16:00:00,270.94534,265.88623,2.4287262,-4.2815895,611456.0,1.206994e-06,100.0,28,1,3,-0.8660254037844385,-0.5000000000000004,0,0,-10636.000495,-9605.624203000025,-9241.263792000022,-9796.835625000009,-9747.39398699999
2023-03-28 17:00:00,270.17438,265.76904,2.1323395,-3.9000397,217150.0,1.7881393e-07,100.0,28,1,3,-0.9659258262890683,-0.25881904510252063,0,0,-10647.955293999998,-9821.045007999997,-9532.876033000006,-10091.03534900001,-9916.556682000011
2023-03-28 18:00:00,269.3935,265.59576,2.065857,-3.4901962,5202.0,0.0,100.0,28,1,3,-1.0,-1.8369701987210297e-16,0,0,-10751.745502999993,-9982.105117000023,-9722.142933999994,-10291.158628000005,-10152.269496000008
2023-03-28 19:00:00,268.80945,265.88702,2.0826263,-2.840557,0.0,0.0,100.0,28,1,3,-0.9659258262890684,0.2588190451025203,0,0,-10725.631219000003,-9932.326389000009,-9556.987802000003,-10114.463307000005,-10264.251306000007
2023-03-28 20:00:00,268.1353,265.72552,2.3185577,-2.303051,0.0,0.0,100.0,28,1,3,-0.8660254037844386,0.5000000000000001,0,0,-10397.10461900001,-9645.651344000007,-9319.33521300002,-9862.255109000016,-9965.452383000005
2023-03-28 21:00:00,267.64438,265.31885,2.4482422,-2.0183697,0.0,0.0,100.0,28,1,3,-0.7071067811865477,0.7071067811865474,0,0,-9961.415468000001,-9297.68824,-8915.000360000024,-9513.252087000012,-9595.597640999997
2023-03-28 22:00:00,267.2905,264.94342,2.533371,-1.8139343,0.0,0.0,100.0,28,1,3,-0.5000000000000004,0.8660254037844384,0,0,-9516.082986000005,-9049.365381000005,-8455.038594999987,-9257.58459300001,-9156.348972000007
2023-03-28 23:00:00,267.09012,264.61725,2.516922,-1.6368561,0.0,0.0,100.0,28,1,3,-0.25881904510252157,0.9659258262890681,0,0,-9345.724536999995,-8852.081898000015,-7965.181094000018,-8945.431165999977,-9093.235677000004
2023-03-29 00:00:00,266.92505,264.3642,2.3848572,-1.4044037,0.0,0.0,100.0,29,2,3,0.0,1.0,0,0,-9183.342203000013,-8777.778549000015,-7650.692783000001,-8767.685714000005,-9039.657660000003
2023-03-29 01:00:00,266.65854,264.19327,2.010025,-1.2502136,0.0,0.0,100.0,29,2,3,0.25881904510252074,0.9659258262890683,0,0,-9092.513037000008,-8856.741820000005,-7446.379734000007,-8624.092098000003,-8993.904965000005
2023-03-29 02:00:00,266.93207,264.4004,1.1238403,-1.220932,0.0,0.0,100.0,29,2,3,0.49999999999999994,0.8660254037844387,0,0,-9083.387675000016,-8924.209603000007,-7346.177907000009,-8629.527413999996,-9023.111137000009
2023-03-29 03:00:00,266.1164,264.52448,0.84768677,-0.75679016,0.0,0.0,100.0,29,2,3,0.7071067811865476,0.7071067811865476,0,0,-9199.419064000009,-9097.938592999997,-7318.809358999998,-8619.933948000013,-9138.592783999993
